Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Stress_Level_Num,Work_Life_Balance_Score,Non_Study_Hours_Per_Day
6.9,3.8,8.7,2.8,1.8,2.99,Moderate,2,0.7999999999999999,8.399999999999999
5.3,3.5,8.0,4.2,3.0,2.75,Low,1,0.848,10.7
5.1,3.9,9.2,1.2,4.6,2.67,Low,1,0.9357798165137615,9.7
6.5,2.1,7.2,1.7,6.5,2.88,Moderate,2,0.8843537414965986,10.299999999999999
8.1,0.6,6.5,2.2,6.6,3.51,High,3,0.9585798816568046,9.4
6.0,2.1,8.0,0.3,7.6,2.85,Moderate,2,0.8633093525179856,10.0
8.0,0.7,5.3,5.7,4.3,3.08,High,3,0.8888888888888888,10.7
8.4,1.8,5.6,3.0,5.2,3.2,High,3,0.9879518072289156,10.0
5.2,3.6,6.3,4.0,4.9,2.82,Low,1,0.7375886524822696,12.5
7.7,0.7,9.8,4.5,1.3,2.76,Moderate,2,0.8592592592592592,6.5
9.7,3.6,8.0,2.5,0.2,3.43,High,3,0.4354838709677421,6.300000000000001
6.9,1.1,9.1,2.1,4.8,2.97,Moderate,2,1.0,8.0
6.4,2.2,5.7,4.8,4.9,2.82,High,3,0.7950310559006212,11.899999999999999
5.0,3.3,8.5,4.4,2.8,2.87,Low,1,0.819672131147541,10.5
8.9,0.3,6.8,0.7,7.3,3.4,High,3,0.9467455621301775,8.3
6.7,0.3,6.6,2.0,8.4,3.2,Moderate,2,0.783625730994152,10.700000000000001
8.6,2.6,9.4,1.6,1.8,3.36,High,3,0.5666666666666667,6.0
8.8,2.2,8.9,2.0,2.1,3.19,High,3,0.6356589147286821,6.3
7.6,1.7,5.1,0.6,9.0,3.16,High,3,0.8837209302325582,11.299999999999999
6.6,2.0,9.5,1.5,4.4,2.93,Moderate,2,0.9440000000000001,7.9
7.1,3.0,6.1,0.5,7.3,2.9,Moderate,2,0.9530201342281879,10.8
9.6,3.2,8.2,2.6,0.4,3.34,High,3,0.47619047619047616,6.2
9.0,0.7,9.5,2.6,2.2,3.21,High,3,0.6956521739130436,5.500000000000001
6.1,1.7,9.1,5.2,1.9,2.85,Moderate,2,0.9242424242424243,8.799999999999999
5.0,2.0,7.1,1.3,8.6,2.68,Low,1,0.6711409395973155,11.9
9.7,1.3,7.6,3.8,1.6,3.29,High,3,0.7152317880794703,6.7
6.8,3.9,9.8,0.9,2.6,2.64,Moderate,2,0.6796116504854369,7.4
6.4,0.1,8.0,3.0,6.5,2.95,Moderate,2,0.8050314465408805,9.6
5.3,1.1,9.5,1.4,6.7,2.79,Low,1,0.791044776119403,9.2
9.9,1.0,8.4,3.6,1.1,3.25,High,3,0.6438356164383561,5.7
6.2,2.9,6.8,3.8,4.3,3.05,Moderate,2,0.8671328671328672,11.0
5.5,3.3,6.6,1.1,7.5,3.26,Low,1,0.7801418439716312,11.899999999999999
5.2,2.4,8.4,0.1,7.9,2.47,Low,1,0.787878787878788,10.4
8.2,0.7,8.5,2.3,4.3,3.24,High,3,0.8918918918918919,7.3
9.7,0.6,6.7,0.7,6.3,3.62,High,3,0.8383233532934132,7.6
9.1,2.2,7.6,1.2,3.9,3.12,High,3,0.7183098591549295,7.3
5.5,3.6,9.5,3.4,2.0,2.58,Low,1,0.9908256880733946,9.0
8.6,3.6,9.4,1.9,0.5,3.03,High,3,0.4363636363636364,6.0
8.2,0.3,5.8,5.4,4.3,3.29,High,3,0.9162011173184358,10.0
5.0,0.6,7.7,4.2,6.5,2.61,Low,1,0.6369426751592357,11.299999999999999
8.3,0.9,8.6,1.4,4.8,3.48,High,3,0.8551724137931034,7.1
8.2,3.4,8.3,2.3,1.8,3.07,High,3,0.6666666666666667,7.5
5.5,1.5,6.3,1.5,9.2,2.81,Low,1,0.6790123456790124,12.2
9.5,2.5,9.0,1.5,1.5,3.49,High,3,0.48,5.5
7.9,2.0,6.0,4.3,3.8,2.97,Moderate,2,0.9875,10.1
9.7,3.8,9.6,0.3,0.6,3.55,High,3,0.16981132075471705,4.699999999999999
5.1,3.7,7.1,5.8,2.3,2.6,Low,1,0.7727272727272727,11.8
9.3,1.3,5.8,3.3,4.3,3.09,High,3,0.8994082840236686,8.9
9.7,2.8,7.9,0.3,3.3,3.47,High,3,0.5413533834586466,6.3999999999999995
9.4,3.0,8.5,2.2,0.9,3.18,High,3,0.496,6.1
